minutes_played,matches_per_week,training_minutes,training_intensity,sessions_per_week,fatigue_level,muscle_soreness,sleep_quality,previous_injury,injury_date,recovery_days,training_date,match_date,entry_date,injury_risk
48,1,290,2,3,3,2,3,0,,0,2025-07-12,2025-07-14,2025-07-13,0
73,1,383,3,5,6,2,2,0,,0,2025-02-24,2025-02-25,2025-02-25,1
85,2,514,3,5,8,3,1,1,2025-06-28,28,2025-07-21,2025-07-22,2025-07-22,2
61,1,330,2,4,5,2,2,0,,0,2025-12-25,2025-12-25,2025-12-26,1
94,3,537,3,7,8,3,1,1,2025-08-22,7,2025-09-17,2025-09-19,2025-09-18,2
93,2,600,3,5,8,3,1,1,2025-04-02,7,2025-05-25,2025-05-26,2025-05-26,2
85,3,470,3,6,9,3,1,1,2025-06-25,23,2025-07-31,2025-08-01,2025-08-01,2
47,1,205,1,4,1,1,3,0,,0,2025-06-16,2025-06-16,2025-06-17,0
64,1,359,3,4,5,3,2,1,2025-10-10,29,2025-10-22,2025-10-24,2025-10-23,1
25,1,279,1,4,3,2,2,0,,0,2025-02-08,2025-02-09,2025-02-09,0
24,0,243,2,4,4,1,3,0,,0,2025-05-19,,2025-05-20,0
35,1,279,2,4,1,1,2,0,,0,2025-04-11,2025-04-11,2025-04-12,0
95,3,462,3,5,9,3,1,1,2026-01-01,12,2026-01-16,2026-01-18,2026-01-17,2
67,1,327,3,4,5,2,2,0,,0,2025-03-23,2025-03-24,2025-03-24,1
68,1,378,3,4,6,2,2,1,2025-04-19,25,2025-05-27,2025-05-28,2025-05-28,1
94,3,478,3,7,9,3,1,1,2025-06-10,26,2025-08-05,2025-08-07,2025-08-06,2
79,2,341,2,5,7,2,2,0,,0,2025-12-20,2025-12-22,2025-12-21,1
22,0,188,1,2,1,2,2,0,,0,2025-03-13,,2025-03-14,0
79,2,368,2,5,5,2,2,0,,0,2025-08-11,2025-08-11,2025-08-12,1
91,2,454,3,7,8,3,1,1,2025-07-10,9,2025-09-05,2025-09-06,2025-09-06,2
85,3,578,3,5,9,3,1,1,2025-04-27,15,2025-05-18,2025-05-19,2025-05-19,2
47,0,155,1,2,4,1,3,0,,0,2025-06-15,,2025-06-16,0
89,2,596,3,7,10,3,1,1,2025-10-16,11,2025-11-09,2025-11-10,2025-11-10,2
32,1,207,2,4,4,1,3,0,,0,2025-05-20,2025-05-22,2025-05-21,0
76,2,302,2,5,6,3,2,1,2025-10-15,20,2025-11-25,2025-11-26,2025-11-26,1
79,2,359,3,4,5,3,2,0,,0,2025-09-19,2025-09-21,2025-09-20,1
64,2,349,3,4,5,2,2,0,,0,2026-02-05,2026-02-05,2026-02-06,1
36,0,178,2,3,4,1,3,0,,0,2025-02-04,,2025-02-05,0
43,0,186,1,4,2,1,2,0,,0,2025-11-28,,2025-11-29,0
72,2,415,3,5,7,2,2,0,,0,2026-02-02,2026-02-04,2026-02-03,1
32,1,213,1,3,2,1,2,0,,0,2025-07-11,2025-07-13,2025-07-12,0
61,1,414,3,5,5,2,2,0,,0,2025-06-03,2025-06-05,2025-06-04,1
58,1,264,2,3,1,2,3,0,,0,2025-07-24,2025-07-25,2025-07-25,0
37,1,286,2,4,3,1,3,0,,0,2025-08-03,2025-08-03,2025-08-04,0
91,3,484,3,5,10,3,1,1,2025-11-30,7,2026-01-14,2026-01-15,2026-01-15,2
60,2,408,3,5,7,3,2,1,2025-08-14,24,2025-09-18,2025-09-18,2025-09-19,1
93,3,497,3,6,8,3,1,1,2025-07-12,20,2025-08-08,2025-08-10,2025-08-09,2
74,1,403,3,4,7,3,2,0,,0,2025-03-01,2025-03-03,2025-03-02,1
80,1,300,3,4,5,2,2,1,2025-07-05,11,2025-08-01,2025-08-03,2025-08-02,1
62,1,390,2,5,5,2,2,0,,0,2025-02-10,2025-02-10,2025-02-11,1
89,2,542,3,7,9,3,1,1,2025-09-12,29,2025-09-30,2025-10-02,2025-10-01,2
89,2,534,3,7,8,3,1,1,2025-02-16,24,2025-03-04,2025-03-04,2025-03-05,2
85,2,493,3,5,8,3,1,1,2025-04-29,15,2025-05-28,2025-05-30,2025-05-29,2
94,3,531,3,5,10,3,1,1,2025-08-12,27,2025-09-22,2025-09-24,2025-09-23,2
64,2,340,2,4,6,3,2,0,,0,2025-02-24,2025-02-25,2025-02-25,1
53,0,236,2,4,3,1,3,0,,0,2025-06-06,,2025-06-07,0
26,1,210,2,2,3,2,2,0,,0,2025-12-23,2025-12-24,2025-12-24,0
74,1,308,2,5,7,3,2,1,2025-12-21,27,2026-01-21,2026-01-23,2026-01-22,1
37,1,259,2,4,1,1,2,0,,0,2026-01-17,2026-01-19,2026-01-18,0
93,3,451,3,6,8,3,1,1,2025-08-27,24,2025-10-03,2025-10-04,2025-10-04,2
94,2,490,3,5,9,3,1,1,2025-11-15,29,2026-01-08,2026-01-10,2026-01-09,2
63,2,318,2,4,7,2,2,1,2025-08-20,17,2025-10-13,2025-10-13,2025-10-14,1
51,1,216,1,3,3,2,2,0,,0,2025-08-26,2025-08-26,2025-08-27,0
54,1,164,1,4,2,2,3,0,,0,2025-12-15,2025-12-17,2025-12-16,0
81,2,503,3,5,10,3,1,1,2025-03-19,17,2025-05-03,2025-05-05,2025-05-04,2
37,1,292,2,2,1,2,3,0,,0,2025-05-06,2025-05-06,2025-05-07,0
45,0,266,2,3,2,1,3,0,,0,2025-01-23,,2025-01-24,0
88,3,540,3,7,9,3,1,1,2025-11-25,16,2026-01-08,2026-01-08,2026-01-09,2
73,1,326,2,5,6,2,2,1,2024-12-21,9,2025-01-07,2025-01-07,2025-01-08,1
25,0,179,1,2,2,1,2,0,,0,2025-12-14,,2025-12-15,0
36,0,295,1,3,1,1,2,0,,0,2025-02-04,,2025-02-05,0
67,2,401,2,5,7,3,2,0,,0,2025-12-12,2025-12-12,2025-12-13,1
52,1,156,1,2,1,2,3,0,,0,2025-01-10,2025-01-10,2025-01-11,0
36,1,158,1,3,1,2,2,0,,0,2025-02-03,2025-02-03,2025-02-04,0
93,2,540,3,7,8,3,1,1,2025-06-24,28,2025-07-21,2025-07-22,2025-07-22,2
64,2,386,3,4,7,2,2,0,,0,2025-09-26,2025-09-27,2025-09-27,1
46,1,208,1,3,1,1,2,0,,0,2026-01-24,2026-01-26,2026-01-25,0
66,1,408,2,5,6,3,2,1,2025-04-25,23,2025-05-26,2025-05-27,2025-05-27,1
29,1,208,2,4,2,2,2,0,,0,2026-01-19,2026-01-21,2026-01-20,0
75,1,362,3,5,6,3,2,0,,0,2026-01-10,2026-01-10,2026-01-11,1
39,0,281,1,4,1,2,3,0,,0,2025-09-20,,2025-09-21,0
54,1,219,1,2,4,1,2,0,,0,2025-09-20,2025-09-20,2025-09-21,0
80,2,383,2,4,5,3,2,1,2025-07-08,29,2025-08-18,2025-08-19,2025-08-19,1
82,2,503,3,6,8,3,1,1,2025-08-22,18,2025-09-06,2025-09-06,2025-09-07,2
84,3,563,3,5,10,3,1,1,2025-05-13,29,2025-07-04,2025-07-06,2025-07-05,2
68,2,341,2,5,5,2,2,0,,0,2025-04-08,2025-04-08,2025-04-09,1
84,3,584,3,7,8,3,1,1,2025-04-04,29,2025-04-28,2025-04-28,2025-04-29,2
86,3,530,3,5,8,3,1,1,2025-02-24,20,2025-03-06,2025-03-06,2025-03-07,2
91,3,559,3,7,10,3,1,1,2025-10-04,15,2025-11-07,2025-11-07,2025-11-08,2
89,2,540,3,7,8,3,1,1,2025-05-17,26,2025-07-09,2025-07-09,2025-07-10,2
36,1,275,2,4,2,2,3,0,,0,2025-03-05,2025-03-05,2025-03-06,0
95,3,463,3,6,10,3,1,1,2025-11-07,9,2026-01-03,2026-01-04,2026-01-04,2
30,1,180,2,2,3,2,3,0,,0,2025-01-23,2025-01-23,2025-01-24,0
93,2,555,3,6,9,3,1,1,2025-02-23,12,2025-03-29,2025-03-30,2025-03-30,2
40,0,250,2,2,3,1,2,0,,0,2025-05-04,,2025-05-05,0
70,1,398,3,5,7,2,2,0,,0,2025-01-24,2025-01-24,2025-01-25,1
45,1,150,1,3,2,2,3,0,,0,2025-10-26,2025-10-26,2025-10-27,0
45,1,237,1,3,2,2,3,0,,0,2025-10-03,2025-10-05,2025-10-04,0
29,0,228,1,3,4,1,2,0,,0,2026-01-20,,2026-01-21,0
59,0,274,1,3,2,1,3,0,,0,2025-03-09,,2025-03-10,0
60,1,295,1,4,3,1,3,0,,0,2025-08-21,2025-08-23,2025-08-22,0
49,1,228,2,3,2,2,3,0,,0,2025-12-24,2025-12-25,2025-12-25,0
23,0,214,1,3,4,2,2,0,,0,2025-04-24,,2025-04-25,0
80,2,564,3,7,10,3,1,1,2025-12-15,8,2025-12-28,2025-12-30,2025-12-29,2
59,0,189,2,3,4,1,3,0,,0,2025-07-30,,2025-07-31,0
24,0,275,1,4,2,2,2,0,,0,2025-05-06,,2025-05-07,0
66,1,389,2,4,7,3,2,1,2025-08-02,16,2025-08-27,2025-08-29,2025-08-28,1
82,2,591,3,5,9,3,1,1,2025-01-15,20,2025-02-16,2025-02-18,2025-02-17,2
51,1,266,2,4,4,2,3,0,,0,2025-02-03,2025-02-03,2025-02-04,0
79,1,331,2,5,6,2,2,1,2025-07-18,25,2025-07-28,2025-07-28,2025-07-29,1
83,2,500,3,5,8,3,1,1,2025-10-21,15,2025-11-11,2025-11-11,2025-11-12,2
42,0,300,2,3,2,2,2,0,,0,2025-09-19,,2025-09-20,0
63,2,377,2,5,6,2,2,0,,0,2025-09-06,2025-09-06,2025-09-07,1
84,2,524,3,7,10,3,1,1,2025-10-11,29,2025-10-24,2025-10-24,2025-10-25,2
24,1,158,2,3,3,1,3,0,,0,2025-08-19,2025-08-21,2025-08-20,0
51,1,262,1,4,2,1,3,0,,0,2025-07-06,2025-07-08,2025-07-07,0
62,1,328,2,4,7,3,2,1,2025-10-01,9,2025-11-05,2025-11-06,2025-11-06,1
48,0,216,2,2,3,1,2,0,,0,2025-07-26,,2025-07-27,0
85,2,563,3,6,8,3,1,1,2025-12-07,14,2025-12-31,2026-01-01,2026-01-01,2
23,1,298,2,3,2,2,3,0,,0,2025-06-16,2025-06-17,2025-06-17,0
45,0,273,2,4,2,2,3,0,,0,2025-07-28,,2025-07-29,0
84,2,516,3,6,9,3,1,1,2025-05-16,17,2025-06-21,2025-06-22,2025-06-22,2
95,2,508,3,5,10,3,1,1,2025-07-27,28,2025-09-06,2025-09-06,2025-09-07,2
51,0,186,1,4,3,2,2,0,,0,2026-01-29,,2026-01-30,0
57,1,201,2,2,4,2,2,0,,0,2025-09-15,2025-09-17,2025-09-16,0
95,3,585,3,6,8,3,1,1,2025-03-20,24,2025-04-24,2025-04-26,2025-04-25,2
81,3,539,3,7,8,3,1,1,2025-02-11,23,2025-03-18,2025-03-20,2025-03-19,2
95,3,575,3,5,9,3,1,1,2025-12-11,18,2025-12-26,2025-12-28,2025-12-27,2
39,1,236,1,4,4,2,2,0,,0,2025-09-15,2025-09-15,2025-09-16,0
90,2,591,3,5,8,3,1,1,2025-07-25,16,2025-08-16,2025-08-16,2025-08-17,2
61,2,380,3,4,6,3,2,1,2025-04-18,14,2025-05-09,2025-05-10,2025-05-10,1
64,2,395,3,5,6,2,2,0,,0,2025-07-28,2025-07-28,2025-07-29,1
63,2,326,3,5,5,2,2,0,,0,2025-12-07,2025-12-09,2025-12-08,1
55,0,159,1,4,1,1,3,0,,0,2025-02-18,,2025-02-19,0
76,2,357,3,4,6,3,2,1,2025-10-04,17,2025-11-28,2025-11-29,2025-11-29,1
41,0,277,1,4,1,2,2,0,,0,2025-04-10,,2025-04-11,0
75,2,394,2,5,6,3,2,0,,0,2025-03-07,2025-03-08,2025-03-08,1
81,3,468,3,7,8,3,1,1,2025-12-24,25,2026-01-31,2026-02-01,2026-02-01,2
92,3,489,3,6,8,3,1,1,2025-07-06,26,2025-07-22,2025-07-23,2025-07-23,2
79,2,417,3,4,7,2,2,1,2025-06-13,14,2025-07-26,2025-07-26,2025-07-27,1
85,3,483,3,5,9,3,1,1,2025-09-15,30,2025-10-13,2025-10-14,2025-10-14,2
81,2,590,3,5,9,3,1,1,2025-09-18,15,2025-09-28,2025-09-28,2025-09-29,2
44,0,256,1,4,3,2,3,0,,0,2025-01-14,,2025-01-15,0
82,3,529,3,6,9,3,1,1,2025-02-02,24,2025-03-09,2025-03-10,2025-03-10,2
24,1,167,2,3,1,2,3,0,,0,2025-04-03,2025-04-03,2025-04-04,0
92,2,516,3,5,8,3,1,1,2025-09-08,9,2025-10-07,2025-10-08,2025-10-08,2
86,3,586,3,7,10,3,1,1,2025-08-28,26,2025-09-22,2025-09-24,2025-09-23,2
65,1,358,3,5,7,3,2,1,2025-08-22,11,2025-10-13,2025-10-15,2025-10-14,1
71,2,308,2,5,7,2,2,0,,0,2026-01-03,2026-01-04,2026-01-04,1
78,2,409,3,4,6,2,2,0,,0,2025-04-05,2025-04-06,2025-04-06,1
35,0,265,1,4,1,2,2,0,,0,2025-01-10,,2025-01-11,0
42,0,225,2,4,2,2,3,0,,0,2025-07-19,,2025-07-20,0
75,2,334,3,4,5,2,2,1,2025-11-26,22,2026-01-06,2026-01-07,2026-01-07,1
60,1,330,3,5,7,3,2,0,,0,2025-08-01,2025-08-01,2025-08-02,1
67,2,384,3,4,6,3,2,1,2024-12-01,21,2025-01-08,2025-01-08,2025-01-09,1
93,2,450,3,7,8,3,1,1,2025-12-31,14,2026-01-18,2026-01-20,2026-01-19,2
69,1,378,2,5,6,2,2,0,,0,2025-05-07,2025-05-08,2025-05-08,1
81,2,456,3,7,10,3,1,1,2024-12-14,21,2025-01-07,2025-01-07,2025-01-08,2
91,3,485,3,6,10,3,1,1,2024-11-20,25,2025-01-04,2025-01-04,2025-01-05,2
55,0,193,2,4,1,1,3,0,,0,2025-10-12,,2025-10-13,0
80,3,559,3,7,8,3,1,1,2024-12-06,28,2025-01-04,2025-01-05,2025-01-05,2
41,0,209,2,2,1,2,3,0,,0,2025-11-16,,2025-11-17,0
83,2,583,3,6,8,3,1,1,2024-12-10,7,2025-01-24,2025-01-26,2025-01-25,2
66,1,362,2,5,5,3,2,0,,0,2025-11-29,2025-11-30,2025-11-30,1
61,1,403,3,4,5,3,2,1,2025-09-01,20,2025-09-15,2025-09-16,2025-09-16,1
59,1,158,1,4,3,2,3,0,,0,2026-01-12,2026-01-13,2026-01-13,0
95,2,488,3,6,9,3,1,1,2025-08-11,19,2025-10-10,2025-10-12,2025-10-11,2
71,2,350,3,5,5,3,2,1,2025-03-23,27,2025-04-06,2025-04-06,2025-04-07,1
25,1,237,1,2,4,1,2,0,,0,2025-11-28,2025-11-30,2025-11-29,0
60,2,406,2,4,6,2,2,0,,0,2026-01-26,2026-01-28,2026-01-27,1
59,0,248,2,3,3,2,2,0,,0,2025-01-21,,2025-01-22,0
63,1,399,2,4,6,3,2,1,2025-02-14,21,2025-02-28,2025-02-28,2025-03-01,1
75,1,376,3,5,6,2,2,0,,0,2025-10-29,2025-10-31,2025-10-30,1
90,3,570,3,7,8,3,1,1,2025-09-23,12,2025-11-08,2025-11-09,2025-11-09,2
23,1,163,2,2,1,2,3,0,,0,2025-10-17,2025-10-18,2025-10-18,0
31,1,170,1,3,3,2,3,0,,0,2025-02-21,2025-02-21,2025-02-22,0
32,0,161,2,4,2,1,3,0,,0,2025-01-25,,2025-01-26,0
36,0,277,1,2,4,1,3,0,,0,2025-11-25,,2025-11-26,0
74,2,371,2,5,7,2,2,1,2025-10-13,25,2025-11-20,2025-11-22,2025-11-21,1
73,2,307,3,4,7,3,2,0,,0,2025-08-28,2025-08-29,2025-08-29,1
78,2,412,2,4,7,2,2,0,,0,2025-07-28,2025-07-30,2025-07-29,1
87,3,487,3,6,10,3,1,1,2025-04-05,21,2025-05-05,2025-05-05,2025-05-06,2
62,2,304,2,4,5,3,2,1,2025-01-31,29,2025-03-26,2025-03-28,2025-03-27,1
80,2,300,3,5,7,3,2,0,,0,2025-09-05,2025-09-05,2025-09-06,1
60,1,416,3,4,7,3,2,0,,0,2025-03-18,2025-03-19,2025-03-19,1
55,1,259,1,4,4,2,3,0,,0,2025-02-02,2025-02-03,2025-02-03,0
87,2,558,3,5,8,3,1,1,2025-01-07,13,2025-02-27,2025-02-27,2025-02-28,2
67,2,365,3,5,7,2,2,0,,0,2025-08-26,2025-08-28,2025-08-27,1
69,1,378,2,5,6,3,2,1,2025-08-02,24,2025-10-01,2025-10-01,2025-10-02,1
89,2,487,3,5,10,3,1,1,2025-06-17,12,2025-07-29,2025-07-29,2025-07-30,2
95,3,558,3,5,8,3,1,1,2025-04-13,27,2025-04-26,2025-04-28,2025-04-27,2
34,0,261,2,4,1,1,2,0,,0,2025-02-15,,2025-02-16,0
94,2,588,3,7,8,3,1,1,2025-11-14,21,2026-01-11,2026-01-12,2026-01-12,2
23,1,238,2,3,1,2,2,0,,0,2025-09-15,2025-09-15,2025-09-16,0
86,3,466,3,6,10,3,1,1,2025-03-14,13,2025-05-03,2025-05-05,2025-05-04,2
73,2,318,2,4,6,2,2,0,,0,2025-05-21,2025-05-23,2025-05-22,1
70,2,408,3,5,6,3,2,1,2025-11-15,10,2025-12-27,2025-12-27,2025-12-28,1
92,2,461,3,5,10,3,1,1,2025-12-28,23,2026-01-12,2026-01-12,2026-01-13,2
87,3,536,3,7,8,3,1,1,2025-02-04,16,2025-02-17,2025-02-18,2025-02-18,2
86,2,593,3,7,9,3,1,1,2025-09-26,30,2025-11-12,2025-11-12,2025-11-13,2
60,1,212,1,3,1,2,3,0,,0,2025-09-18,2025-09-20,2025-09-19,0
41,0,180,1,3,2,2,3,0,,0,2025-08-06,,2025-08-07,0
29,0,199,2,3,1,2,2,0,,0,2025-04-14,,2025-04-15,0
30,0,171,1,3,1,2,2,0,,0,2025-12-17,,2025-12-18,0
48,1,269,2,3,4,1,2,0,,0,2025-04-01,2025-04-03,2025-04-02,0
60,2,382,3,5,6,2,2,0,,0,2025-02-16,2025-02-17,2025-02-17,1
61,2,419,2,5,7,3,2,0,,0,2025-08-04,2025-08-04,2025-08-05,1
80,2,472,3,6,8,3,1,1,2025-10-16,20,2025-11-15,2025-11-16,2025-11-16,2
94,2,523,3,6,8,3,1,1,2024-12-03,11,2025-01-25,2025-01-26,2025-01-26,2
60,0,260,1,3,4,1,3,0,,0,2025-07-20,,2025-07-21,0
52,0,224,1,3,1,1,3,0,,0,2025-10-20,,2025-10-21,0
57,0,233,1,3,2,1,3,0,,0,2025-06-15,,2025-06-16,0
42,1,159,1,2,3,2,2,0,,0,2025-08-02,2025-08-02,2025-08-03,0
79,1,317,3,5,5,2,2,0,,0,2025-12-14,2025-12-15,2025-12-15,1
82,2,597,3,6,9,3,1,1,2025-02-15,12,2025-04-15,2025-04-17,2025-04-16,2
32,0,243,2,4,3,1,2,0,,0,2026-01-29,,2026-01-30,0
65,1,356,3,5,7,2,2,0,,0,2025-04-14,2025-04-14,2025-04-15,1
67,2,335,3,5,5,3,2,1,2025-07-20,13,2025-08-08,2025-08-10,2025-08-09,1
92,3,581,3,5,8,3,1,1,2025-01-11,18,2025-02-16,2025-02-17,2025-02-17,2
82,2,580,3,5,9,3,1,1,2025-09-01,30,2025-10-09,2025-10-09,2025-10-10,2
81,2,496,3,5,10,3,1,1,2025-08-12,28,2025-09-09,2025-09-10,2025-09-10,2
89,3,517,3,7,8,3,1,1,2026-01-20,19,2026-02-05,2026-02-07,2026-02-06,2
84,2,553,3,6,10,3,1,1,2024-12-16,19,2025-01-11,2025-01-12,2025-01-12,2
89,3,521,3,5,10,3,1,1,2025-02-06,19,2025-03-24,2025-03-26,2025-03-25,2
43,0,207,1,2,4,1,2,0,,0,2025-03-19,,2025-03-20,0
56,1,278,1,3,4,2,3,0,,0,2025-08-13,2025-08-13,2025-08-14,0
76,2,366,3,4,7,2,2,1,2025-07-27,10,2025-09-12,2025-09-14,2025-09-13,1
91,3,600,3,6,10,3,1,1,2025-08-04,21,2025-09-13,2025-09-13,2025-09-14,2
30,1,201,2,2,3,2,2,0,,0,2025-02-17,2025-02-18,2025-02-18,0
95,3,470,3,7,9,3,1,1,2025-09-10,22,2025-10-06,2025-10-06,2025-10-07,2
74,2,397,2,5,7,2,2,0,,0,2026-01-16,2026-01-17,2026-01-17,1
59,0,282,1,4,2,1,2,0,,0,2025-02-19,,2025-02-20,0
73,1,376,3,5,6,2,2,0,,0,2025-10-14,2025-10-15,2025-10-15,1
73,1,407,2,4,5,3,2,0,,0,2025-08-21,2025-08-23,2025-08-22,1
54,1,222,1,3,2,2,2,0,,0,2025-02-05,2025-02-07,2025-02-06,0
80,2,490,3,5,9,3,1,1,2024-12-29,29,2025-02-19,2025-02-21,2025-02-20,2
87,3,596,3,7,10,3,1,1,2025-03-25,14,2025-05-24,2025-05-26,2025-05-25,2
41,0,219,1,2,1,2,3,0,,0,2025-06-20,,2025-06-21,0
39,1,271,1,2,1,2,2,0,,0,2025-12-08,2025-12-10,2025-12-09,0
68,1,405,2,4,7,3,2,1,2025-03-06,23,2025-03-30,2025-03-30,2025-03-31,1
82,3,547,3,7,8,3,1,1,2025-10-14,12,2025-11-07,2025-11-09,2025-11-08,2
56,0,225,1,2,2,2,2,0,,0,2025-05-23,,2025-05-24,0
34,1,233,1,4,4,1,2,0,,0,2025-03-13,2025-03-13,2025-03-14,0
82,2,533,3,7,8,3,1,1,2025-07-03,30,2025-08-29,2025-08-29,2025-08-30,2
70,1,337,2,5,5,2,2,1,2025-12-18,29,2026-01-22,2026-01-22,2026-01-23,1
52,1,291,2,3,1,2,3,0,,0,2025-06-09,2025-06-10,2025-06-10,0
60,1,253,1,3,4,1,3,0,,0,2025-07-31,2025-08-02,2025-08-01,0
26,1,264,2,2,4,2,2,0,,0,2025-05-04,2025-05-05,2025-05-05,0
70,2,335,2,4,7,3,2,0,,0,2025-06-12,2025-06-12,2025-06-13,1
74,2,322,2,5,7,3,2,0,,0,2025-10-20,2025-10-21,2025-10-21,1
59,1,235,1,3,2,2,2,0,,0,2025-07-09,2025-07-11,2025-07-10,0
75,2,420,3,4,6,3,2,0,,0,2025-10-29,2025-10-29,2025-10-30,1
73,2,400,2,4,6,2,2,0,,0,2025-04-26,2025-04-27,2025-04-27,1
75,2,402,2,4,5,3,2,0,,0,2025-02-16,2025-02-17,2025-02-17,1
85,3,510,3,6,8,3,1,1,2025-01-30,20,2025-03-24,2025-03-25,2025-03-25,2
87,3,514,3,5,8,3,1,1,2025-10-05,10,2025-10-30,2025-10-31,2025-10-31,2
85,2,580,3,5,10,3,1,1,2025-10-30,19,2025-12-03,2025-12-04,2025-12-04,2
